Ref,Val,Package,PosX,PosY,Rot,Side
"J15","GH 1.25mm 4P","JST_GH_SM04B-GHS-TB_04x1.25mm_Angled",153.000000,-72.750000,180.000000,top
"Q1","S9013","SOT-23-3",132.500000,-79.500000,-90.000000,top
"Q2","S9013","SOT-23-3",130.000000,-103.000000,0.000000,top
"R3","4k7","R_0402_1005Metric",134.200000,-102.500000,90.000000,top
"R4","1k","R_0402_1005Metric",148.250000,-104.250000,0.000000,top
"R6","1k","R_0402_1005Metric",148.250000,-101.250000,0.000000,top
"R7","1k","R_0402_1005Metric",148.250000,-102.250000,0.000000,top
"R8","1k","R_0402_1005Metric",148.250000,-103.250000,0.000000,top
"R9","5k1","R_0402_1005Metric",126.500000,-93.750000,-90.000000,top
"R10","1k5","R_0402_1005Metric",134.600000,-88.700000,180.000000,top
"R11","10k","R_0402_1005Metric",148.700000,-91.700000,90.000000,top
"R12","10k","R_0402_1005Metric",147.400000,-91.700000,90.000000,top
"R13","10k","R_0402_1005Metric",146.400000,-91.700000,90.000000,top
"R14","10k","R_0402_1005Metric",149.900000,-89.200000,90.000000,top
"R15","10k","R_0402_1005Metric",147.300000,-85.200000,0.000000,top
"R16","10k","R_0402_1005Metric",135.000000,-96.250000,-90.000000,top
"R17","15k","R_0402_1005Metric",150.000000,-102.750000,90.000000,top
"R18","1k","R_0402_1005Metric",150.000000,-100.750000,90.000000,top
"R19","10k","R_0402_1005Metric",150.000000,-84.750000,90.000000,top
"R20","10k","R_0402_1005Metric",127.250000,-104.000000,-90.000000,top
"R21","1k","R_0402_1005Metric",127.250000,-102.000000,90.000000,top
"R22","10k","R_0402_1005Metric",132.750000,-102.490000,-90.000000,top
"R23","10k","R_0402_1005Metric",127.600000,-77.000000,90.000000,top
"R24","10k","R_0402_1005Metric",129.000000,-77.000000,90.000000,top
"R25","10k","R_0402_1005Metric",126.800000,-100.300000,180.000000,top
"R26","10k","R_0402_1005Metric",131.000000,-76.800000,0.000000,top
"R27","10k","R_0402_1005Metric",126.800000,-99.150000,180.000000,top
"R28","10k","R_0402_1005Metric",126.800000,-97.900000,180.000000,top
"R33","120","R_0402_1005Metric",141.500000,-78.250000,0.000000,top
"R34","120","R_0402_1005Metric",146.500000,-78.250000,0.000000,top
"U2","USBLC6-2SC6","SOT-23-6",131.500000,-87.500000,0.000000,top
"U5","W25X40CLSN","USON_LUXIG TR_WIN-L",147.500000,-88.500000,-90.000000,top
"U6","BMI323","BMI323_L",141.000000,-98.000000,0.000000,top
"U7","ICM-42688-P","IIM42352_L",137.000000,-94.000000,90.000000,top
"U8","LIS2MDLTR","LIS2MDLTR",141.000000,-94.000000,90.000000,top
"U9","LPS22HH","ST_HLGA-10_2x2mm_P0.5mm_LayoutBorder3x2y",137.000000,-97.400000,180.000000,top
"U10","ATA6561-GBQW","VDFN8_3X3_MCH-L",141.500000,-80.750000,90.000000,top
"U11","ATA6561-GBQW","VDFN8_3X3_MCH-L",146.500000,-80.750000,90.000000,top
"Y1","16MHz","Crystal_SMD_Abracon_ABM8G-4Pin_3.2x2.5mm",136.800000,-103.600000,180.000000,top
